weighted_g2v0,weighted_g2v1,weighted_g2v2,weighted_g2v3,weighted_g2v4,weighted_g2v5,weighted_g2v6,weighted_g2v7,weighted_g2v8,weighted_g2v9,weighted_g2v10,weighted_g2v11,weighted_g2v12,weighted_g2v13,weighted_g2v14,weighted_g2v15,weighted_g2v16,weighted_g2v17,weighted_g2v18,weighted_g2v19,weighted_g2v20,weighted_g2v21,weighted_g2v22,weighted_g2v23,weighted_g2v24,weighted_g2v25,weighted_g2v26,weighted_g2v27,weighted_g2v28,weighted_g2v29,weighted_g2v30,weighted_g2v31,weighted_g2v32,weighted_g2v33,weighted_g2v34,weighted_g2v35,weighted_g2v36,weighted_g2v37,weighted_g2v38,weighted_g2v39,weighted_g2v40,weighted_g2v41,weighted_g2v42,weighted_g2v43,weighted_g2v44,weighted_g2v45,weighted_g2v46,weighted_g2v47,weighted_g2v48,weighted_g2v49,weighted_g2v50,weighted_g2v51,weighted_g2v52,weighted_g2v53,weighted_g2v54,weighted_g2v55,weighted_g2v56,weighted_g2v57,weighted_g2v58,weighted_g2v59,weighted_g2v60,weighted_g2v61,weighted_g2v62,weighted_g2v63,label
-0.1351853758096695,-0.0484008863568306,-0.039732735604047775,0.05211494117975235,-0.14087960124015808,0.10714705288410187,-0.05970297008752823,-0.04776642844080925,0.025263601914048195,0.05388795584440231,-0.06975657492876053,0.06393418461084366,0.1782149225473404,-0.09654093533754349,0.1925322413444519,0.04496537148952484,-0.14819328486919403,-0.03365497291088104,0.09461882710456848,-0.03025433048605919,-0.02347247675061226,0.07485174387693405,0.10813649743795395,-0.23908311128616333,-0.00060876808129251,-0.10077454149723053,-0.011227799579501152,-0.011324702762067318,0.03002132847905159,0.0713585913181305,-0.04019831866025925,0.13339944183826447,-0.04454733431339264,-0.1399623304605484,-0.1141086295247078,0.10104495286941528,0.0487096831202507,-0.05058898404240608,0.12500469386577606,-0.2347697764635086,-0.11670006066560745,0.26149263978004456,-0.09539943933486938,-0.06390310078859329,-0.024210592731833458,0.00921765435487032,-0.21439851820468903,0.050808485597372055,-0.016858723014593124,0.0336751751601696,0.2292686104774475,0.03528854250907898,-0.0992705449461937,0.0695578083395958,0.046493131667375565,0.05168355628848076,0.11176504194736481,-0.0007681474671699107,0.05156001076102257,0.17255596816539764,-0.05620050057768822,-0.20657579600811005,-0.13184888660907745,-0.03290311247110367,1
-0.16650648415088654,-0.05880053713917732,-0.061477553099393845,0.05755791813135147,-0.1845928281545639,0.14829613268375397,-0.05760074779391289,-0.0605342872440815,0.020223883911967278,0.06846800446510315,-0.09341924637556076,0.07997474074363708,0.23106789588928223,-0.11940373480319977,0.2387235462665558,0.0708472803235054,-0.18147654831409454,-0.04667370393872261,0.1153101921081543,-0.037614721804857254,-0.02983788773417473,0.08480080962181091,0.13440321385860443,-0.3035435378551483,0.0002709623076952994,-0.12239858508110046,-0.008501781150698662,-0.014543585479259491,0.03163747489452362,0.09445521980524063,-0.04730759188532829,0.16497185826301575,-0.05760076642036438,-0.18129530549049377,-0.1485901176929474,0.11976993829011917,0.061781544238328934,-0.06330575048923492,0.15579286217689514,-0.30459028482437134,-0.13917537033557892,0.3379071056842804,-0.12002134323120117,-0.08521762490272522,-0.03559492528438568,0.007701484952121973,-0.2790384888648987,0.07161956280469894,-0.028012987226247787,0.04548441991209984,0.2761644721031189,0.05539069324731827,-0.12543830275535583,0.0741361603140831,0.05998694524168968,0.07265685498714447,0.1245734691619873,0.0015987110091373324,0.08021713048219681,0.23322249948978424,-0.0690000057220459,-0.2452278733253479,-0.15960383415222168,-0.03727150708436966,1
-0.07405881392991259,-0.031809481082572824,-0.025209991142175914,0.02870593111341198,-0.0749198252922811,0.06190582348305421,-0.03671498862760408,-0.02751158711700035,0.012253050239884206,0.033411257141519206,-0.03954805051797025,0.034449331975165046,0.10042162666407724,-0.04617880635695266,0.10412587556943652,0.027705231138194602,-0.08554199163059127,-0.0266890155894327,0.05667776118276552,-0.024526841393838237,-0.015582315413103927,0.04120993548228095,0.05318523837992134,-0.14010458771095036,-0.00842006208646732,-0.05636413329990492,-0.003619274425242717,-0.006616792364400767,0.009965927168239085,0.04706978735477952,-0.018761376122711226,0.07818460034572386,-0.02102209629620553,-0.08573626782301635,-0.07327317377175427,0.05006398150276038,0.02650075451570696,-0.025759884488901923,0.07461375028305199,-0.14004793795867868,-0.06162663583555037,0.1563686728033991,-0.053851869328701424,-0.03312550523939232,-0.017111251574187053,0.001893920463598555,-0.12099542002016235,0.02683769517932974,-0.013236105811388586,0.018848737590901908,0.12931140915523948,0.01967313746267575,-0.05683488698698403,0.032684594470386706,0.03348383284866854,0.03466262849369308,0.06608695488345499,-0.00285739592176729,0.03499150162817733,0.09843336636341908,-0.027911823116786156,-0.12237421868901167,-0.08037415607915525,-0.010138006129723397,1
-0.09685540944337845,-0.04014812409877777,-0.03834663704037666,0.037246182560920715,-0.0921923965215683,0.07486910372972488,-0.02932325378060341,-0.04171822592616081,0.010148349218070507,0.04316578432917595,-0.045147452503442764,0.034822262823581696,0.1308223307132721,-0.06762009859085083,0.13396063446998596,0.038050439208745956,-0.10062044858932495,-0.03472398966550827,0.06624221801757812,-0.0281684510409832,-0.023978939279913902,0.054012078791856766,0.07404253631830215,-0.17366474866867065,-0.010617632418870926,-0.0694776102900505,-0.007715530227869749,0.0007467379909940064,0.012442770414054394,0.06054775416851044,-0.02263224869966507,0.08699319511651993,-0.03842896968126297,-0.0989450067281723,-0.0752294585108757,0.07414227724075317,0.044363025575876236,-0.03156616911292076,0.09677188098430634,-0.17805247008800507,-0.07138167321681976,0.18916301429271698,-0.07714256644248962,-0.04552890732884407,-0.027456406503915787,0.014782638289034367,-0.1534349024295807,0.03405744954943657,-0.017468104138970375,0.02386670559644699,0.15266303718090057,0.031335391104221344,-0.068062923848629,0.04905635863542557,0.033021412789821625,0.046897195279598236,0.08216530829668045,0.003455014433711767,0.04365507885813713,0.12690900266170502,-0.04772626608610153,-0.1446470320224762,-0.09309933334589005,-0.017361566424369812,1
-0.07857812975998968,-0.0337884584799982,-0.03101546227788696,0.03465178590984298,-0.08775561120217809,0.07109053103396526,-0.030422407614353757,-0.02808305348914403,0.016497688027671896,0.028219917198069967,-0.050179039199764915,0.03836521991671851,0.11485385303743757,-0.05529930310932776,0.10447293382066374,0.03141595981567381,-0.08208640251989262,-0.016379568439263564,0.06104129444485387,-0.01684261643598662,-0.0071346625761809545,0.04655066704771553,0.06539902865635948,-0.1425137004519526,-0.009022047622308422,-0.06173860282433452,-0.015211975990006557,0.0010605914822707956,0.014526310609653592,0.04454277727143982,-0.016281443755500592,0.08492055368753007,-0.03421421676130894,-0.07400058745406568,-0.07193091805395223,0.055856435134326324,0.026417096593202308,-0.021904754237486765,0.06720703431906608,-0.14773811418294477,-0.06026717704326774,0.1504543142643972,-0.061050822875516206,-0.03250602994544002,-0.021192742072833844,0.010466025963139076,-0.129307243704366,0.03055412787608265,-0.010658663572170414,0.021340515518274445,0.1260453746676481,0.02699662748580942,-0.06615404951242873,0.029891402344219387,0.024915094326178614,0.029059980118360657,0.06796339117527868,-0.0021597343461158183,0.03211576362641958,0.11142239572990757,-0.027850287017197564,-0.11958093828378388,-0.07870568421024543,-0.010748816922736855,1
-0.18194917083850928,-0.06834591327090178,-0.07402113872599236,0.0765281110925942,-0.18381689891352185,0.16340789241640238,-0.07933836587115514,-0.07873507473636798,0.026316887898636714,0.06470574927991446,-0.09635453111948256,0.08806494162512982,0.2563319992848995,-0.12550213747201677,0.2692787732783621,0.0635256696782284,-0.20486804059877686,-0.05547697217279703,0.12093310029131873,-0.046160838924281834,-0.039934274804664355,0.09703108182709132,0.1464145264151145,-0.3387568613742383,-0.00273680592868097,-0.15244160842254986,-0.0273586513845212,-0.011550471771090311,0.027105487614622985,0.11040641637328936,-0.047796358145317255,0.1871037628188045,-0.061702424522527326,-0.1959279829408137,-0.15404670395679315,0.13066827876975032,0.07011914959091846,-0.05641769640366262,0.17017740040081458,-0.33086419705543857,-0.14543361067700636,0.36032845245256107,-0.1312537510043048,-0.08216952059503492,-0.04215325266645499,0.01245488502929814,-0.3087571269851261,0.06711130293219217,-0.0174602043092707,0.05214365058321962,0.3068036847353977,0.05102930940706663,-0.14123561108551388,0.08575103868259953,0.0641016389186285,0.07254677444425582,0.1507839278985594,0.0024790238513022053,0.0773320323716355,0.23967196451671116,-0.08072226604194932,-0.27901780562076184,-0.17864877388203648,-0.02979744279315239,1
-0.059673501679020365,-0.018958668385992847,-0.022838500056100348,0.024011332132372883,-0.061415066664677956,0.048271380984524805,-0.020049617528134295,-0.02037237018286701,0.009178670365438466,0.019975865201558918,-0.034242118331378385,0.024956208351443732,0.08464891154829773,-0.041646213471634136,0.08085985785451598,0.022303131590184246,-0.06412480030989935,-0.02009231857429709,0.04597475542311346,-0.018303255907319967,-0.010757578698347413,0.032781844992460986,0.04621387109716212,-0.1086348162836305,-0.00016063627141017106,-0.042779401598137715,-0.009350788497437363,-0.0043899149994456,0.012642480440497879,0.0317693738540965,-0.016629737107113244,0.06295982037761039,-0.02316202122282477,-0.06498360460353715,-0.05440845880507221,0.04022139402842449,0.023965494699716088,-0.02486810754259838,0.05719043757398463,-0.10621623617536839,-0.04623912281597093,0.11610481969170994,-0.04596350699542991,-0.027748921478632838,-0.010859112792287863,-0.0004148019718066339,-0.09464478896622877,0.02153765127971588,-0.011124334825698527,0.018019250148133704,0.09869697720428268,0.019148778162836548,-0.043909421491046104,0.02522446815254948,0.025830791636009612,0.02469638546538209,0.048868988849027385,0.002694354738078771,0.024977664663193507,0.07934658745615443,-0.028814671185588645,-0.09076712426218775,-0.06037963931110778,-0.011792499694086972,1
-0.1707840773354595,-0.04827078989460244,-0.06726102941181689,0.06282292876026727,-0.17132267216428382,0.13762455256766684,-0.06642758537366587,-0.06215745375846468,0.0308458203909963,0.05065354035745952,-0.08560760097558766,0.06522699919185557,0.23055953630024478,-0.1029770905599348,0.2381427501095459,0.05971291321995003,-0.18335185679496221,-0.04629598972054997,0.12151246253190384,-0.041218375446208357,-0.02981840596545399,0.08610760498171051,0.11893145999194876,-0.29145516964629115,-0.005288810241923091,-0.1236253180984585,-0.021075978364457286,-0.00865527838704154,0.02146041707739988,0.09607580838547576,-0.04805619343339155,0.16551230861296062,-0.060552541012709425,-0.17104801831010263,-0.1371080767601684,0.11909281714109793,0.07483445351577497,-0.05310257832821835,0.16338270229642235,-0.28939066060341984,-0.1316960514135038,0.3242477181650299,-0.12471324062651201,-0.06883121373885799,-0.03756663060492082,0.01705579335768042,-0.2625903658169721,0.061124915837787,-0.015888592368268985,0.03894772135009546,0.2747421675982575,0.05011197449112799,-0.12719830444326535,0.08456926849404615,0.055787264740501996,0.06531040440036338,0.12691259471743943,0.0017754619420018223,0.0780519891857347,0.22073832345804908,-0.07407772650601276,-0.24072492123481684,-0.16723151205639755,-0.024554417781820076,1
-0.12318792194128036,-0.0340757854282856,-0.03780072182416916,0.047686073929071426,-0.12235431373119354,0.09015484154224396,-0.04914349317550659,-0.03761479631066322,0.016318298876285553,0.044598549604415894,-0.06640756875276566,0.05580325424671173,0.15850651264190674,-0.07147014141082764,0.15825942158699036,0.03749627247452736,-0.12779763340950012,-0.02836315520107746,0.08341383934020996,-0.03470461815595627,-0.025587590411305428,0.05587727949023247,0.09018230438232422,-0.20280256867408752,-0.0014260726748034358,-0.08048269897699356,-0.017607148736715317,-0.004336340352892876,0.015664182603359222,0.06430971622467041,-0.023443128913640976,0.11646047234535217,-0.033646564930677414,-0.1182858869433403,-0.10350213944911957,0.07371734082698822,0.0489618256688118,-0.03168918564915657,0.10260621458292007,-0.20257990062236786,-0.09541081637144089,0.22588975727558136,-0.0773148462176323,-0.05041215568780899,-0.01879005879163742,0.004914538934826851,-0.1870461404323578,0.046019647270441055,-0.0116462092846632,0.032890357077121735,0.18303364515304565,0.03509868308901787,-0.08560231328010559,0.05642898008227348,0.0374114103615284,0.05037584528326988,0.08845409750938416,0.0034520376939326525,0.04466104507446289,0.14955244958400726,-0.04344070702791214,-0.16345643997192383,-0.1144184097647667,-0.012423603795468807,1
-0.20878556811743798,-0.05938816169595264,-0.07672662354204529,0.08171554048829635,-0.20788583001515637,0.15967720255481682,-0.06739571080406141,-0.07045518173136396,0.03219290336539202,0.07931153585720013,-0.1171293513952525,0.08272163622442509,0.27684405212365915,-0.13434096189688288,0.2883588752772673,0.07249318465833579,-0.22235360708231489,-0.057176117397616244,0.14588766383787835,-0.04287952581730411,-0.026233740915332045,0.10943364224958178,0.14620238293633414,-0.36168267450514524,-0.005566283373542212,-0.14936908899792745,-0.027230275679732373,-0.01021508064107312,0.02636110656278427,0.11047004825805369,-0.05436107820487985,0.20296119135694907,-0.07504668175105882,-0.2120164141884101,-0.17883731055446653,0.13425291945767479,0.08738800154242199,-0.07239420549526318,0.18463881924125256,-0.35072621234062623,-0.15877968192901737,0.3961199204260244,-0.15412583916397982,-0.09143038272261894,-0.05152809602698065,0.010686948540002477,-0.33015026735580144,0.06752879696346901,-0.02639140358523411,0.057152763135758615,0.33316821351078996,0.055823678717441746,-0.1536923419985482,0.09200229847920127,0.08160076774691012,0.08271800173379769,0.16006150234127692,0.01096114659209407,0.09621144899660174,0.2553950466484393,-0.07954215548413819,-0.29933908930080877,-0.19097925831823992,-0.027607268083717346,1
